name,code,province,city,type,belong,website,level,logo,longitude,latitude,status,created_at,updated_at,deleted_at
伊犁师范大学,10764,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
郑州轻工业大学,10462,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
吉林农业大学,10193,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南方医科大学,12121,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山西师范大学,10118,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中原工学院,10465,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
温州大学,10351,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
新疆师范大学,10762,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
内蒙古师范大学,10135,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
安徽医科大学,10366,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
贵州大学,10657,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
贵州师范大学,10663,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
东北财经大学,10173,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖南工业大学,11535,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
天津职业技术师范大学,10066,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
长沙理工大学,10536,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国农业科学院,82101,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山东工艺美术学院,10908,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山东科技大学,10424,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
重庆大学,10611,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
哈尔滨理工大学,10214,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西安现代控制技术研究所,83112,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广州医科大学,10570,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京理工大学,10007,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
成都信息工程大学,10621,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
陕西师范大学,10718,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
延边大学,10184,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河南大学,10475,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
四川师范大学,10636,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
新疆大学,10755,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南京工业大学,10291,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
福州大学,10386,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国人民大学,10002,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
陕西中医药大学,10716,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京服装学院,10012,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
青岛科技大学,10426,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
天津外国语大学,10068,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广西大学,10593,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江西财经大学,10421,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国地质大学,11415,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
辽宁工程技术大学,10147,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国石油大学,11414,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西南林业大学,10677,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
昆明医科大学,10678,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
吉林大学,10183,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖南大学,10532,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
厦门理工学院,11062,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西华师范大学,10638,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国药科大学,10316,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
电子科技大学,10614,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国铁道科学研究院,83801,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
塔里木大学,10757,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国地质大学,10491,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
集美大学,10390,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海电机学院,11458,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西南财经大学,10651,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
贵州民族大学,10672,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
武汉工程大学,10490,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
武汉理工大学,10497,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海理工大学,10252,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山东建筑大学,10430,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华侨大学,10385,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
武汉科技大学,10488,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河北师范大学,10094,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华北电力大学,10079,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
贵州财经大学,10671,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海大学,10280,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
长安大学,10710,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
吉首大学,10531,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河北农业大学,10086,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
天津农学院,10061,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
郑州航空工业管理学院,10485,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
哈尔滨工业大学,10213,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河北科技师范学院,10798,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖北大学,10512,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京体育大学,10043,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
